"src","team","pos","name","gsis_id","status","practice","when","fetched","season","week"
"Report","ARI","QB","Jacoby Brissett","00-0033119",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","ATL","QB","Tua Tagovailoa","00-0036212",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","ATL","QB","Michael Penix Jr.","00-0039917",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","CHI","K","Cairo Santos","00-0031203",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","CHI","QB","Tyson Bagent","00-0038416",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","CHI","QB","Caleb Williams","00-0039918",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","KC","QB","Patrick Mahomes","00-0033873",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","LV","QB","Aidan O'Connell","00-0038579",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","NYG","QB","Jaxson Dart","00-0040691",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","SEA","QB","Sam Darnold","00-0034869",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","TB","QB","Baker Mayfield","00-0034855",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","WAS","QB","Jayden Daniels","00-0039910",NA,"Did Not Participate In Practice",NA,"2026-09-26T02:57:14Z",2026,3
"Report","WAS","K","Drew Stevens","00-0041182",NA,"Full Participation in Practice",NA,"2026-09-26T02:57:14Z",2026,3
