"src","team","pos","name","gsis_id","order","status","flag","fetched","season","week"
"Sleeper","ARI","K","Chad Ryland",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ARI","QB","Jacoby Brissett","00-0033119",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ARI","QB","Gardner Minshew","00-0035289",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ARI","QB","Carson Beck",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ATL","K","Nick Folk","00-0025565",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ATL","QB","Michael Penix",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ATL","QB","Cooper Rush","00-0033662",2,"Out","Out","2026-09-25T21:12:57Z",2026,3
"Sleeper","ATL","QB","Tua Tagovailoa",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","ATL","QB","Jack Strand",NA,4,"Out","Out","2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","K","Tyler Loop",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","QB","Lamar Jackson","00-0034796",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","QB","Tyler Huntley",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","QB","Skylar Thompson",NA,3,"IR","IR","2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","QB","Aaron Bailey",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BAL","QB","Joe Fagnano",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BUF","K","Tyler Bass",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BUF","QB","Josh Allen","00-0034857",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","BUF","QB","Kyle Allen","00-0034577",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CAR","K","Ryan Fitzgerald",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CAR","QB","Bryce Young",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CAR","QB","Kenny Pickett",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CAR","QB","Haynes King",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CHI","K","Cairo Santos","00-0031203",1,"Questionable","Questionable","2026-09-25T21:12:57Z",2026,3
"Sleeper","CHI","QB","Case Keenum","00-0028986",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CHI","QB","Tyson Bagent",NA,2,"Questionable","Questionable","2026-09-25T21:12:57Z",2026,3
"Sleeper","CHI","QB","Caleb Williams",NA,3,"Doubtful","Doubtful","2026-09-25T21:12:57Z",2026,3
"Sleeper","CIN","K","Evan McPherson",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CIN","QB","Joe Burrow",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CIN","QB","Joe Flacco","00-0026158",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CLE","K","Andre Szmyt",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CLE","QB","Deshaun Watson","00-0033537",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CLE","QB","Dillon Gabriel",NA,2,"IR","IR","2026-09-25T21:12:57Z",2026,3
"Sleeper","CLE","QB","Shedeur Sanders",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","CLE","QB","Taylen Green",NA,4,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DAL","K","Brandon Aubrey",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DAL","QB","Dak Prescott","00-0033077",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DAL","QB","Sam Howell",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DEN","K","Wil Lutz","00-0032569",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DEN","QB","Bo Nix",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DEN","QB","Jarrett Stidham","00-0035264",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DEN","QB","Sam Ehlinger",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DET","K","Jake Bates",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DET","QB","Jared Goff","00-0033106",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","DET","QB","Joshua Dobbs","00-0033949",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","GB","K","Trey Smack",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","GB","QB","Jordan Love",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","GB","QB","Tyrod Taylor","00-0028118",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","HOU","K","Ka'imi Fairbairn","00-0032726",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","HOU","QB","C.J. Stroud",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","HOU","QB","Davis Mills",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","HOU","QB","Graham Mertz",NA,3,"IR","IR","2026-09-25T21:12:57Z",2026,3
"Sleeper","IND","K","Spencer Shrader",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","IND","QB","Daniel Jones","00-0035710",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","IND","QB","Anthony Richardson",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","IND","QB","Riley Leonard",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","JAX","K","Cam Little",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","JAX","QB","Trevor Lawrence",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","JAX","QB","Quinn Ewers",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","KC","K","Harrison Butker","00-0033303",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","KC","QB","Patrick Mahomes","00-0033873",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","KC","QB","Justin Fields",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","KC","QB","Garrett Nussmeier",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LA","K","Harrison Mevis",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LA","QB","Matthew Stafford","00-0026498",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LA","QB","Stetson Bennett",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LA","QB","Ty Simpson",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LA","QB","Matthew Caldwell",NA,4,"IR","IR","2026-09-25T21:12:57Z",2026,3
"Sleeper","LAC","K","Cameron Dicker",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LAC","QB","Justin Herbert",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LAC","QB","Trey Lance",NA,2,"Questionable","Questionable","2026-09-25T21:12:57Z",2026,3
"Sleeper","LV","K","Matt Gay","00-0035269",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LV","QB","Kirk Cousins","00-0029604",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","LV","QB","Aidan O'Connell",NA,2,"Questionable","Questionable","2026-09-25T21:12:57Z",2026,3
"Sleeper","LV","QB","Fernando Mendoza",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIA","K","Riley Patterson",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIA","QB","Malik Willis",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIA","QB","Brady Cook",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIA","QB","Kyle McCord",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","K","Will Reichard",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","QB","Kyler Murray","00-0035228",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","QB","Carson Wentz","00-0032950",2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","MIN","QB","J.J. McCarthy",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","K","Andy Borregales",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Drake Maye",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Tommy DeVito",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NE","QB","Behren Morton",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","K","Daniel Carlson","00-0034161",1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Tyler Shough",NA,1,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Spencer Rattler",NA,2,NA,NA,"2026-09-25T21:12:57Z",2026,3
"Sleeper","NO","QB","Zach Wilson",NA,3,NA,NA,"2026-09-25T21:12:57Z",2026,3
