"pulled_at","season","week","team","pos","player","player_id","status","rule","note"
"2026-09-24T19:42:45Z","2026","3","MIA","QB","Malik Willis","00-0038128","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","WAS","QB","Marcus Mariota","00-0032268","","schedule QB Jayden Daniels ruled out (Out) → Sleeper + Ourlads depth charts",""
"2026-09-24T19:42:45Z","2026","3","TB","QB","Baker Mayfield","00-0034855","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","LV","QB","Kirk Cousins","00-0029604","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","CLE","QB","Deshaun Watson","00-0033537","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","NE","QB","Drake Maye","00-0039851","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","ATL","QB","Michael Penix Jr.","00-0039917","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","ARI","QB","Jacoby Brissett","00-0033119","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","TEN","QB","Cam Ward","00-0040676","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","IND","QB","Daniel Jones","00-0035710","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","MIN","QB","Kyler Murray","00-0035228","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","LAC","QB","Justin Herbert","00-0036355","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","NYJ","QB","Geno Smith","00-0030565","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","PHI","QB","Jalen Hurts","00-0036389","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","CHI","QB","Case Keenum","00-0028986","","nflverse schedule","Sleeper: Tyson Bagent"
"2026-09-24T19:42:45Z","2026","3","NYG","QB","Jameis Winston","00-0031503","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","CIN","QB","Joe Burrow","00-0036442","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","DEN","QB","Bo Nix","00-0039732","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","NO","QB","Tyler Shough","00-0040743","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","PIT","QB","Aaron Rodgers","00-0023459","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","CAR","QB","Bryce Young","00-0039150","","nflverse schedule",""
"2026-09-24T19:42:45Z","2026","3","GB","QB","Jordan Love","00-0036264","","nflverse schedule",""
