"pulled_at","game_id","kickoff","temp","wind"
"2026-09-24T07:22:25Z","2026_03_ARI_SF","2026-09-27T20:05:00Z",74,8
"2026-09-24T07:22:25Z","2026_03_ATL_GB","2026-09-25T00:15:00Z",60,4
"2026-09-24T07:22:25Z","2026_03_BAL_DAL","2026-09-27T20:25:00Z",71,5
"2026-09-24T07:22:25Z","2026_03_LAC_BUF","2026-09-27T17:00:00Z",64,11
"2026-09-24T07:22:25Z","2026_03_CAR_CLE","2026-09-27T17:00:00Z",67,10
"2026-09-24T07:22:25Z","2026_03_PHI_CHI","2026-09-29T00:15:00Z",64,5
"2026-09-24T07:22:25Z","2026_03_CIN_PIT","2026-09-27T17:00:00Z",70,10
"2026-09-24T07:22:25Z","2026_03_LA_DEN","2026-09-28T00:20:00Z",79,9
"2026-09-24T07:22:25Z","2026_03_NE_JAX","2026-09-27T17:00:00Z",84,4
"2026-09-24T07:22:25Z","2026_03_KC_MIA","2026-09-27T17:00:00Z",85,10
"2026-09-24T07:22:25Z","2026_03_MIN_TB","2026-09-27T20:05:00Z",83,4
"2026-09-24T07:22:25Z","2026_03_TEN_NYG","2026-09-27T17:00:00Z",57,17
"2026-09-24T07:22:25Z","2026_03_SEA_WAS","2026-09-27T17:00:00Z",63,12
